,sales,MoM,YoY
,Queens,,
,Northwest Queens,,
,All,,
2016-04,726370.4710619724,-0.006920141082730313,0.05219467690599355
2016-05,750994.6847627555,0.033900350691268955,0.04427077364422516
2016-06,732856.9909713705,-0.02415156080247738,0.02336532243343825
2016-07,724500.8729110636,-0.011402112776779605,-0.023951940263536753
2016-08,730019.5806994616,0.007617254850534216,-0.042389350984012086
2016-09,734993.7556509598,0.006813755525204135,-0.01027234289972423
2016-10,752268.7195379479,0.023503551906625786,0.013353026605118501
2016-11,760381.0593672761,0.01078383245060488,0.045788645987011156
2016-12,764175.2500163976,0.004989854234768387,0.023415857753045888
2017-01,778055.1457465335,0.018163236417088946,0.08211328030801135
2017-02,798504.6427768932,0.026282837588251784,0.050362597513109675
2017-03,746945.540033988,-0.06456957164782717,0.02120970092759955
2017-04,756095.1434202819,0.012249358080212547,0.04092219265859098
2017-05,725452.1955070783,-0.04052789940507595,-0.03401154465393619
2017-06,737612.1167271506,0.016761850464278583,0.00648847703489519
2017-07,745665.6070458587,0.01091832703947726,0.02921284835690363
2017-08,783595.5893212066,0.05086728141534769,0.07338982410637751
2017-09,778687.1822231441,-0.0062639544746727616,0.05944734392129147
2017-10,798904.1089058619,0.025962834812560676,0.06199299287169335
2017-11,812759.5495933036,0.01734305848848039,0.0688845278045358
2017-12,790476.6989384621,-0.027416288945471767,0.034418085277559296
2018-01,912046.5571698747,0.15379309522300888,0.1722132578337725
2018-02,859394.6149208553,-0.05772944575592831,0.0762550007626881
2018-03,795700.3829179106,-0.07411523285936639,0.06527228595769397
2018-04,780426.0826012028,-0.019196044949350788,0.03217973213114034
2018-05,790606.8932996073,0.013045195343127647,0.089812530992462
2018-06,775122.0992665954,-0.019585958792220914,0.05085326242453814
