Unnamed: 0,sales,MoM,YoY
2002-08,819815.4129153342,0.026271814758357825,0.08151832913695811
2002-09,864986.1307708015,0.05509864433365097,0.1122051427370232
2002-10,888214.7953793118,0.026854378101774712,0.17288612371164858
2002-11,895807.0369692262,0.008547754022350196,0.21553295293540556
2002-12,874734.3730132252,-0.02352366423386887,0.2130465824693082
2003-01,873306.3177197779,-0.0016325587944234776,0.2250302480640292
2003-02,823062.7913163505,-0.05753253512995815,0.13285795862451466
2003-03,868943.8874663942,0.055744344944405284,0.1845535505873144
2003-04,883558.5432840603,0.01681887176889929,0.16713505372104254
2003-05,889311.3790196131,0.006510984223150995,0.15871449872919666
2003-06,886935.6735725125,-0.0026713989083549943,0.13121158873995187
2003-07,866664.532342587,-0.02285525527265664,0.08491907858993343
2003-08,855401.3787611573,-0.012995978445068612,0.04340729057444315
